observed_date,market,property,rate_usd,stay_date,los,source,note,basis,rate_type,channel
2026-08-04,coast,Diamonds Leisure Beach & Golf Resort,388.0,2026-09-03,2,"Booking.com, checked 4 Aug 2026 by OG (EA Pulse)","OTA comparison. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,ota
2026-08-04,coast,Diani Reef Beach Resort,201.0,2026-09-03,2,"dianireef.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,Diani Reef Beach Resort,218.0,2026-09-03,2,"Booking.com, checked 4 Aug 2026 by OG (EA Pulse)","OTA comparison. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,ota
2026-08-04,coast,Jacaranda Indian Ocean Beach Resort,62.03,2026-09-03,2,"jacarandahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,Jacaranda Indian Ocean Beach Resort,140.5,2026-09-03,2,"Booking.com, checked 4 Aug 2026 by OG (EA Pulse)","OTA comparison. Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,ota
2026-08-04,coast,Leopard Beach Resort,193.5,2026-09-03,2,"leopardbeachresort.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,Leopard Beach Resort,215.0,2026-09-03,2,"Booking.com, checked 4 Aug 2026 by OG (EA Pulse)","OTA comparison. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,ota
2026-08-04,coast,Swahili Beach,414.0,2026-09-03,2,"swahilibeach.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,coast,The Sands at Nomad,430.0,2026-09-03,2,"thesandsatnomad.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,safari,Angama Mara,5500.0,2026-09-03,2,"angama.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""FB,Per person per night sharing"".",FB,international,direct
2026-08-04,safari,Cottar's 1920s Safari Camp,2200.0,2026-09-03,2,"cottars.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""FB"".",FB,international,direct
2026-08-04,safari,Governors' Camp,1996.5,2026-09-03,2,"governorscamp.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""FB"".",FB,international,direct
2026-08-04,safari,JW Marriott Masai Mara Lodge,4266.0,2026-09-03,2,"marriott.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""AI, Per Night"".",AI,international,direct
2026-08-04,safari,Mahali Mzuri,2600.0,2026-09-03,2,"virginlimitededition.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""AI,Per Nighht"".",AI,international,direct
2026-08-04,safari,Mara Plains Camp,3490.0,2026-09-03,2,"https://greatplainsconservation.com/mara-plains-luxury-safari-camp-in-kenya/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""AI,per person sharing per night"".",AI,international,direct
2026-08-04,safari,Mara Serena Safari Lodge,890.0,2026-09-03,2,"https://www.serenahotels.com/mara/?gad_source=1&gad_campaignid=23415804220&gbraid=0AAAAAClpbhuysLtvvgpvrMDyZljtWMoiD&gclid=Cj0KCQjw-MDTBhCgARIsAKAkdlRqL_Rti0nK1GVYo5v7n9HBClGMVqBTn-mEYWfK0tccWMrf7sQTpiEaAuhpEALw_wcB booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""FB,Per Night"".",FB,international,direct
2026-08-04,safari,Olare Mara Kempinski,1941.3,2026-09-03,2,"kempinski.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""AI,Average per night"".",AI,international,direct
2026-08-04,safari,Sanctuary Olonana,4900.0,2026-09-03,2,"https://www.abercrombiekent.com/stays/safari-lodges/olonana-lodge#journey-dates-prices booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""AI,Per Person Sharing"".",AI,international,direct
2026-08-04,safari,andBeyond Bateleur Camp,2595.0,2026-09-03,2,"andbeyond.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""AI,Per Night"".",AI,international,direct
2026-08-04,nairobi,Best Western Plus Westlands,133.25,2026-09-03,2,"bestwestern.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$266.5 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Crowne Plaza Nairobi Airport,171.0,2026-09-03,2,"ihg.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$342.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Fairview Hotel Nairobi,114.0,2026-09-03,2,"fairviewkenya.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$228.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Four Points by Sheraton Nairobi,335.0,2026-09-03,2,"marriott.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$670.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,JW Marriott Nairobi,340.0,2026-09-03,2,"marriott.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$680.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Nairobi Serena Hotel,242.0,2026-09-03,2,"serenahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$484.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Radisson Blu Nairobi,222.38,2026-09-03,2,"radissonhotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$444.75 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Converted from EUR at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Sarova Stanley,204.54,2026-09-03,2,"sarovahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$409.08 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Converted from KES at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,The Boma Hotel,158.0,2026-09-03,2,"thebomahotel.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$316.0 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,nairobi,Villa Rosa Kempinski,177.23,2026-09-03,2,"kempinski.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: original US$354.46 used per-person x2 on a per-ROOM city rate, double-counting; halved to true per-room per-night. Prior figure was ~2x inflated.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB,per night per person"".",BB,international,direct
2026-08-04,lakekivu,Cormoran Lodge,210.0,2026-09-03,2,"cormoranlodge.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""BB, per night per person"".",BB,international,direct
2026-08-04,lakekivu,Kivu Marina Bay Hotel,177.5,2026-09-03,2,"https://all.accor.com/booking/en/mantis/hotel/B6Y6?dateIn=2026-09-03&nights=2&compositions=2&stayplus=false&snu=false&accessibleRooms=false&hideWDR=false&productCode=null&hideHotelDetails=true&partner_id=Mantis&_gl=1*1gllo2r*_ga*MTk2MTI3ODk0Ni4xNzg1NzQ0MjQy*_ga_2J20SWCDG8*czE3ODU3NDQyNDIkbzEkZzAkdDE3ODU3NDQyNDIkajYwJGwwJGgw&basketId=3404e610-f8db-411e-87a9-5dfb8d4d82e4 booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,lakekivu,Lake Kivu Serena Hotel,279.0,2026-09-03,2,"serenahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""Per Night"".",UNK,international,direct
2026-08-04,lakekivu,Moriah Hill Resort,125.0,2026-09-03,2,"https://moriah-hill.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""Per Night"".",UNK,international,direct
2026-08-04,lakekivu,Palm Garden Resort,70.0,2026-09-03,2,"https://palmgardenlodge.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""Per Night"".",UNK,international,direct
2026-08-04,lakekivu,Paradise Kivu Resort,100.0,2026-09-03,2,"https://www.paradisekivu.com/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per room per night for 2 guests; taken as recorded. Collector basis note: ""Per Night"".",UNK,international,direct
2026-08-04,volcanoes,Bisate Lodge,6640.0,2026-09-03,2,"wildernessdestinations.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,volcanoes,Five Volcanoes Boutique Hotel,900.0,2026-09-03,2,"https://fivevolcanoesrwanda.com/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,volcanoes,Karenge Bush Camp (Akagera),516.0,2026-09-03,2,"https://visitakagera.org/karenge-bush-camp/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""PPS"".",UNK,international,direct
2026-08-04,volcanoes,Magashi Camp (Akagera),2794.0,2026-09-03,2,"https://www.wildernessdestinations.com/africa/rwanda/akagera-national-park/magashi-camp?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=camp_profile booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,volcanoes,Nyungwe House,3720.0,2026-09-03,2,"oneandonlyresorts.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,volcanoes,One&Only Gorilla's Nest,4955,2026-09-03,2,"oneandonlyresorts.com booking engine, checked 4 Aug 2026 by OG (EA Pulse); rate corrected on recheck","Site quoted per room per night for 2 guests; taken as recorded. Rate corrected by collector on recheck (was read as 8,260; correct figure is USD4,955 per room per night, USD9,910 for the 2-night stay). AVAILABILITY: on recheck the 3 Sep 2026 arrival showed FULLY BOOKED — the rate above was observed while the date was still bookable on 4 Aug, and the property has since sold out for that date at roughly 30 days' lead.",UNK,international,direct
2026-08-04,volcanoes,Ruzizi Tented Lodge (Akagera),516.0,2026-09-03,2,"akageranationalpark.org booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""PPS"".",UNK,international,direct
2026-08-04,volcanoes,Sabyinyo Silverback Lodge,4470.0,2026-09-03,2,"sabyinyolodge.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,volcanoes,Singita Kwitonda Lodge,7260.0,2026-09-03,2,"https://singita.com/lodge/singita-kwitonda-lodge/information/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per adult per night"".",UNK,international,direct
2026-08-04,volcanoes,Virunga Lodge,5280.0,2026-09-03,2,"https://virungalodge.com/ booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""Per Person Sharing"".",UNK,international,direct
2026-08-04,kigali,Hotel Des Mille Collines,195.0,2026-09-03,2,"millecollineshotel.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,kigali,Kigali Marriott,304.0,2026-09-03,2,"marriott.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,kigali,Kigali Serena,170.0,2026-09-03,2,"serenahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,kigali,Onomo Hotel Kigali,126.0,2026-09-03,2,"onomohotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,kigali,Park Inn by Radisson Kigali,146.63,2026-09-03,2,"radissonhotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: prior ~2x inflated vs verified market (~$94-147/night); halved 293.26->146.63 to true per-room per-night.] Converted from EUR at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""BB"".",BB,international,direct
2026-08-04,kigali,Radisson Blu Hotel & Convention Centre Kigali,206.38,2026-09-03,2,"radissonhotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","CORRECTION (verified 2026-08-17, OG sign-off): value was a 2-night stay total mis-stored as per-night; divided by LOS 2 to per-night. Original=412.75 (2-night).",BB,international,direct
2026-08-04,kigali,The Retreat by Heaven,224.0,2026-09-03,2,"heavenrwanda.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: per-person x2 on per-room city rate; halved 448.0->224.0 to true per-room per-night.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,kigali,Ubumwe Grande,240.0,2026-09-03,2,"https://reservations.ubumwegrandehotel.com/114531?_gl=1*ijo7zi*&adults=2&datein=09/03/2026&dateout=09/05/2026&domain=www.ubumwegrandehotel.com&languageid=1&rooms=1#/accommodation/room booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,safari,Four Seasons Safari Lodge Serengeti,2116.5,2026-09-03,2,"fourseasons.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,safari,Mwiba Lodge,5240.0,2026-09-03,2,"mwibalodge.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,safari,One Nature Nyaruswigwa,5280.0,2026-09-03,2,"onenaturehotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,safari,Sayari Tented Camp,6449.0,2026-09-03,2,"asiliaafrica.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,safari,Serengeti Bushtops,4320.0,2026-09-03,2,"bushtops.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night(Shared)"".",UNK,international,direct
2026-08-04,safari,Singita Faru Faru Lodge,5590.0,2026-09-03,2,"singita.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,safari,Singita Sasakwa Lodge,6320.0,2026-09-03,2,"singita.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,safari,andBeyond Grumeti Serengeti,5040.0,2026-09-03,2,"andbeyond.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night sharing"".",UNK,international,direct
2026-08-04,dar_arusha,Dar es Salaam Serena Hotel,210.8,2026-09-03,2,"serenahotels.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,dar_arusha,Gran Melia Arusha,394.05,2026-09-03,2,"melia.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from EUR at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,dar_arusha,Hyatt Regency Dar es Salaam,269.58,2026-09-03,2,"hyatt.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from TZS at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,dar_arusha,Johari Rotana,194.0,2026-09-03,2,"rotana.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","[CORRECTED 2026-08-10: per-person x2 on per-room city rate; halved 388.0->194.0 to true per-room per-night.] Site quoted per person per night; x2 to per-double-room per night. Collector basis note: ""per person per night"".",UNK,international,direct
2026-08-04,dar_arusha,Protea Hotel Dar es Salaam Courtyard,158.1,2026-09-03,2,"marriott.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","CORRECTION (verified 2026-08-17, OG sign-off): value was a 2-night stay total mis-stored as per-night; divided by LOS 2 to per-night. Original=316.2 (2-night).",UNK,international,direct
2026-08-04,dar_arusha,Sea Cliff Hotel,217.49,2026-09-03,2,"seacliff-tanzania.com booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Converted from TZS at FX 2 Aug 2026: 128.96 KES/USD, 2,638.52 TZS/USD, 1.1522 EUR/USD. Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
2026-08-04,lakevictoria,Imperial Resort Beach Entebbe,170.0,2026-09-03,2,"https://www.imperialhotels.co.ug/ImperialResortBeachHotel booking engine, checked 4 Aug 2026 by OG (EA Pulse)","Site quoted total for 2 nights / 2 adults; /2 to per-room per night. Collector basis note: ""(blank)"".",UNK,international,direct
